category,service,translator_us_citizen,country,uom,src,translation_direction,target,vendor_rate,quantity,subtotal
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,Day,PORTUGUESE,To,ENGLISH,2025,5,10125
Interpretation,Simultaneous Interpretation,NULL,ITALY,Each,ITALIAN,To,ENGLISH,2425,5,12125
Interpretation,Simultaneous Interpretation,0,ROMANIA,8-Hr Day,ENGLISH,To,ROMANIAN,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,UNITED STATES,Hour,ENGLISH,To,SPANISH,124,4,496
Interpretation,Simultaneous Interpretation,NULL,ALBANIA,Day,ENGLISH,To,ALBANIAN,1320,3,3960
Interpretation,Simultaneous Interpretation,NULL,"KOREA, SOUTH",Day,KOREAN,To,ENGLISH,3325,4,13300
Interpretation,Simultaneous Interpretation,1,NULL,NULL,ENGLISH,To,SPANISH,104.75,2,209.5
Interpretation,Simultaneous Interpretation,NULL,MAURITANIA,8-Hr Day,ENGLISH,To,FRENCH,2200,6,13200
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,ENGLISH,To,PORTUGUESE,279,3,837
Interpretation,Simultaneous Interpretation,NULL,ITALY,8-Hr Day,ENGLISH,To,ITALIAN,2500,2.5,6250
Interpretation,Simultaneous Interpretation,NULL,JORDAN,Day,ENGLISH,To,ARABIC,1295,10,12950
Interpretation,Simultaneous Interpretation,1,UNITED STATES,NULL,ENGLISH,To,UKRAINIAN,474,5,2370
Interpretation,Simultaneous Interpretation,NULL,NULL,Day,ENGLISH,To,SPANISH,1044,3,3132
Interpretation,Simultaneous Interpretation,NULL,ITALY,Day,ENGLISH,To,ITALIAN,2500,3,7500
Interpretation,Simultaneous Interpretation,0,MEXICO,Day,SPANISH,To,ENGLISH,2745,5,13725
Interpretation,Simultaneous Interpretation,NULL,HUNGARY,Day,HUNGARIAN,To,ENGLISH,1360,2,2720
Interpretation,Simultaneous Interpretation,0,BRAZIL,Person,ENGLISH,To,PORTUGUESE,94,2,188
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,8-Hr Day,UKRAINIAN,To,ENGLISH,913,4,3652
Interpretation,Simultaneous Interpretation,1,NULL,Hour,ENGLISH,To,PORTUGUESE,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,0,CROATIA,Day,ENGLISH,To,MONTENEGRIN,620,2,1240
Interpretation,Simultaneous Interpretation,NULL,UZBEKISTAN,Day,UZBEK,To,ENGLISH,1470,12,17640
Interpretation,Simultaneous Interpretation,0,ZAMBIA,Day,ENGLISH,To,FRENCH,1120,8,8960
Interpretation,Simultaneous Interpretation,1,COLOMBIA,Day,ENGLISH,To,SPANISH,837,2,1674
Interpretation,Simultaneous Interpretation,0,SENEGAL,Each,ENGLISH,To,FRENCH,97.5,2,195
Interpretation,Simultaneous Interpretation,0,DOMINICAN REPUBLIC,Flat Rate,SPANISH,To,ENGLISH,330,2,660
Interpretation,Simultaneous Interpretation,NULL,TAJIKISTAN,8-Hr Day,RUSSIAN,To,ENGLISH,2640,5,13200
Interpretation,Simultaneous Interpretation,NULL,MOLDOVA,Day,ENGLISH,To,ROMANIAN,436,6,2616
Interpretation,Simultaneous Interpretation,NULL,UNITED STATES,Hour,ENGLISH,To,DANISH,349,2,698
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,Day,ENGLISH,To,ROMANIAN,1400,4,5600
Interpretation,Simultaneous Interpretation,0,ROMANIA,Hour,ROMANIAN,To,ENGLISH,220,2,440
Interpretation,Simultaneous Interpretation,NULL,TAIWAN,Day,ENGLISH,To,CHINESE SIMPLIFIED,2650,1,2650
Interpretation,Simultaneous Interpretation,NULL,TAIWAN,Half Day,ENGLISH,To,TAIWANESE,1287.5,1,1287.5
Interpretation,Simultaneous Interpretation,NULL,EGYPT,Day,ENGLISH,To,ARABIC,1470,5,7350
Interpretation,Simultaneous Interpretation,NULL,CAMEROON,Day,ENGLISH,To,FRENCH,2275,3,6825
Interpretation,Simultaneous Interpretation,NULL,TAIWAN,Day,MANDARIN,To,ENGLISH,2650,2,5300
Interpretation,Simultaneous Interpretation,NULL,NULL,Half Day,ENGLISH,To,PORTUGUESE,450,2,900
Interpretation,Simultaneous Interpretation,0,HUNGARY,Hour,HUNGARIAN,To,ENGLISH,220,2,440
Interpretation,Simultaneous Interpretation,1,NULL,Hour,ENGLISH,To,SPANISH,104.75,2,209.5
Interpretation,Simultaneous Interpretation,NULL,TURKEY,Day,ENGLISH,To,TURKISH,570,15,8550
Interpretation,Simultaneous Interpretation,NULL,HUNGARY,Day,ENGLISH,To,HUNGARIAN,1360,4,5440
Interpretation,Simultaneous Interpretation,1,UNITED STATES,Day,ENGLISH,To,JAPANESE,5080,5,25400
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,Day,PORTUGUESE,To,ENGLISH,2025,1,2025
Interpretation,Simultaneous Interpretation,0,CROATIA,Day,ENGLISH,To,BOSNIAN,620,10,6200
Interpretation,Simultaneous Interpretation,NULL,UNITED STATES,8-Hr Day,RUSSIAN,To,ENGLISH,2344,12,28128
Interpretation,Simultaneous Interpretation,1,NULL,NULL,ENGLISH,To,SPANISH,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,1,NULL,Package ,ENGLISH,To,PORTUGUESE,NULL,NULL,0
Interpretation,Simultaneous Interpretation,0,NULL,Hour,ENGLISH,To,FRENCH,142.75,4,571
Interpretation,Simultaneous Interpretation,1,NULL,NULL,ENGLISH,To,RUSSIAN,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,1,NULL,NULL,ENGLISH,To,RUSSIAN,NULL,NULL,NULL
