code,name,city,country_id,location
VCA,Can Tho Airport,Can Tho,VN,POINT (105.76639 10.047222)
VCF,Valcheta Airport,Valcheta,AR,POINT (-66.15 -40.7)
VDM,Gobernador Edgardo Castello Airport,Viedma,AR,POINT (-63.016666 -40.85)
VER,Veracruz International Airport,Hacienda Sotavento,MX,POINT (-96.18321 19.142275)
VFA,Victoria Falls Airport,Victoria Falls,ZW,POINT (25.840279 -18.093056)
VKG,Rach Gia Airport,Rach Gia,VN,POINT (105.083336 10.083333)
VIX,Eurico de Aguiar Salles Airport,Vila Velha,BR,POINT (-40.28135718192593 -20.256092950000003)
VPY,Chimoio Airport,Chimoio,MZ,POINT (33.483334 -19.133333)
VQS,Antonio Rivera Rodriguez Airport,Esperanza,PR,POINT (-65.48803 18.134089)
VRA,Juan Gualberto Gomez Airport,Matanzas,CU,POINT (-81.43694 23.039896)
VRL,Vila Real Airport,Vila Real,PT,POINT (-7.75 41.3)
VSE,Viseu Airport,Viseu,PT,POINT (-7.916667 40.65)
WAE,Wadi Ad Dawasir Airport,As Sulayyil,SA,POINT (45.20010307753773 20.5026726)
WAG,Wanganui Airport,Wanganui,NZ,POINT (175.0237094821025 -39.960698550000004)
WAW,Frederic Chopin Airport,Wlochy,PL,POINT (20.97329 52.170906)
WDS,Shiyan Wudangshan Airport,Luancheng,CN,POINT (114.591667 37.913056)
WES,Weasua Airport,Bopolu,LR,POINT (-10.4833 7.2833)
WEF,Weifang Airport,Weifang,CN,POINT (119.11501057347209 36.647181450000005)
WJR,Wajir Airport,Wajir,KE,POINT (40.6 1.766667)
WKJ,Hokkaido Airport,Makubetsu,JP,POINT (141.7974 45.39943)
WJU,Wonju Airport,Wonju,KR,POINT (127.96739325776014 37.43917275)
WKL,Waikoloa Airport,Kalaoa,US,POINT (-156.33333 19.85)
WLE,Miles Airport,Westcourt,AU,POINT (150.165 -26.809167)
WNP,Naga Airport,San Agustin,PH,POINT (123.2693739243056 13.584019699999999)
WNZ,Wenzhou Longwan International Airport,Qidu,CN,POINT (120.84686367619172 27.908789300000002)
WRE,Whangarei Airport,Whangarei,NZ,POINT (174.3612111575483 -35.76978905)
WRN,Windarling Airport,Merredin,AU,POINT (119.38368131919077 -30.031651099999998)
WSZ,Westport Airport,Westport,NZ,POINT (171.57858 -41.74002)
WVB,Rooikop Airport,Walvis Bay,,POINT (14.517222 -22.978611)
WTB,Toowoomba Wellcamp Airport,Westbrook,AU,POINT (151.79365149879573 -27.558470149999998)
WUS,Wuyishan Airport,Xingtian,CN,POINT (117.99996959399512 27.70298965)
XAP,Chapeco Airport,Chapeco,BR,POINT (-52.629723 -27.088612)
XCH,Christmas Island Airport,Flying Fish Cove,CX,POINT (105.666664 -10.5)
XCN,Coron Airport,Coron,PH,POINT (120.2 12.016667)
WYS,Yellowstone Airport,West Yellowstone,US,POINT (-111.11688394311122 44.6889409)
WZA,Wa Airport,Wa,GH,POINT (-2.5078313317209595 10.08289355)
XAI,Xinyang Minggang Airport,Minggang,CN,POINT (114.07562648032489 32.5401692)
XES,Lake Geneva Aire Estates Airport,Lake Geneva,US,POINT (-88.428055 42.627777)
XFW,Hamburg Finkenwerder Airport,Isernhagen Farster Bauerschaft,DE,POINT (9.836945 52.535835)
XFN,Xiangyang Airport,Shuanggou,CN,POINT (112.2893745002323 32.151361050000006)
XIC,Xichang Airport,Xichang,CN,POINT (102.1845480169798 27.98876455)
XJM,Mangla Airport,Jhelum,PK,POINT (73.638333 33.05)
XKH,Xieng Khouang Airport,Muang Phonsavan,LA,POINT (103.36667 19.3)
XNH,Nasiriyah Airport,An Nasiriyah,IQ,POINT (46.0925 30.939722)
XQP,Quepos Airport,Quepos,CR,POINT (-84.13335 9.439146)
XRQ,Xinbarag Youqi Baogede Airport,Hulun,CN,POINT (116.93779 48.57615)
XUZ,Xuzhou Guanyin Airport,Suicheng,CN,POINT (117.55572772215724 34.058505499999995)
XWA,Williston Basin International Airport,Williston,CA,POINT (-103.74677072876773 48.260548400000005)
